Cluster  Max Int
Size       k         x      y      z
#------  -----     -----  -----  -----    
    846   5.0654   33.0   87.0   -6.0 
    672   4.3925  -42.0   57.0  -18.0 
    305   4.9605    6.0  -12.0   51.0 
    261   4.9438   48.0   -6.0   36.0 
    187   3.9016  -45.0    0.0   51.0 
    140   4.5484   -9.0   66.0  -18.0 
     99   3.8046  -33.0   60.0   45.0 
     85   3.917   33.0  -21.0    9.0 
     80   4.083   24.0   51.0   45.0 
     28   3.2845   51.0   24.0   60.0 
     26   3.044  -60.0   48.0    6.0 
     24   3.0423  -39.0  -33.0   21.0 
